
-3284,-4108,-18224,-642,976,-456
124,-4048,-18444,572,3009,482
992,-6672,-17472,4985,8907,3221
844,-2220,-14292,9149,13720,4433
884,-1620,-21728,9257,12635,4604
-4904,-2556,-24876,1479,9916,-3455
144,-6912,-17076,1215,8040,-1132
-660,-8936,-16960,5940,4700,-856
328,-5104,-15460,5507,1264,-7244
2372,-4960,-14616,2323,114,-12340
448,-5568,-13652,1568,-663,-9261
4356,-2836,-15016,-980,-1566,-6411
5504,-3920,-16064,-2640,-545,-6014
4772,-4476,-14864,-3909,108,-5695
4916,-4860,-15536,-3128,152,-4832
5660,-4832,-17572,-1558,1018,-6144
5792,-3336,-16756,-1193,771,-6667
5864,-3420,-16496,-1131,696,-5600
6324,-1808,-15056,-2959,2207,-6548
9228,492,-18604,-2640,-49,-1808
6444,4860,-28288,-1021,2011,3906
-4704,-9212,-16380,3885,137,15931
-4292,-816,-9636,5941,-8405,28988
-6592,-8372,-16108,-5207,-7311,10906
-6156,-12732,-20792,-3667,-9900,5306
76,-2532,-19528,1844,-11617,8737
-540,232,-13928,-6194,-9091,-877
-4920,-604,-12432,-5747,-9551,5855
-4444,-6068,-16340,-3417,-10725,8420
-640,-4320,-15132,-2959,-7025,6825
-5060,-3432,-14996,-4651,-6213,5642
-6548,-4768,-16620,-5270,-7838,4504
-4068,-4936,-19796,-3286,-7276,5373
-1884,-1396,-20740,-2182,-4788,5894
-4316,-7876,-18592,-3066,-135,3910
-2344,-8124,-20896,884,2334,4585
732,-6972,-20232,284,5413,1067
-4800,-11196,-21260,918,10900,-9240
-2248,-368,-21936,7794,18897,-10156
-12568,7520,-23744,7425,18298,-5641
-9324,1232,-22476,8905,12004,2710
76,-6356,-20848,11731,11664,5766
-6532,-1344,-13852,7781,11523,-3570
-3668,-2104,-12840,6731,6587,-7874
-2376,-1596,-10116,5974,3373,-10368
-1740,1308,-9432,2220,517,-15006
-180,3668,-9640,-3205,-5538,-13773
3788,-3688,-14404,-5061,-7836,-8931
5408,-8264,-19356,-1546,-5798,-4967
8672,-4552,-20520,-755,-5854,-5223
6156,-6420,-21724,-1767,-1086,-7248
7472,-3920,-22116,-54,87,-8684
8896,-3784,-18476,944,651,-6375
-19352,8332,-24604,-11,-7797,7781
-5456,-4588,-15952,573,201,15006
-7956,-7952,-8000,7186,-1868,26579
-8428,-4496,-19164,-6480,-7416,-544
-3320,-5256,-18360,-1490,-10560,6996
-1516,-684,-17152,-173,-8768,10499
-3216,-724,-13592,-5837,-6928,3713
-4428,-4132,-15052,-4036,-8542,8018
-3900,-6640,-14324,-2615,-7381,8134
-3628,-6748,-16004,-2329,-6427,5913
-4688,-3240,-16156,-2080,-6379,4851
-4976,-584,-16596,-3185,-6116,5715
-3884,-5160,-18072,-4873,-4397,4483
-4340,-6764,-19160,-2289,-2313,4487
-2672,-5324,-20104,-458,331,2919
3328,-3940,-23968,348,4277,3746
3668,-7440,-19484,-3013,12823,-1038
-6836,-10108,-22576,2403,18659,-7915
-11264,2528,-22224,5961,17504,-14071
-4824,5492,-26592,12963,13222,4129
-2392,-2340,-21400,10706,12408,8370
-3240,-5940,-16088,9163,13202,1397
-2268,1384,-14644,7812,9781,-6188
-5188,-2252,-9080,4090,3327,-18214
-1520,-1796,-10268,3383,1602,-13202
-3724,2928,-8092,-781,-5289,-12834
1072,1128,-11096,-4253,-11088,-8356
5828,-5600,-18160,-4309,-10274,-5780
8576,-7160,-25016,-2468,-8511,-3504
6764,-7196,-25208,-701,-1243,-5492
5852,-2676,-21360,1196,1222,-7329
10480,-2820,-13396,-87,2558,-6000
-20084,6196,-25800,-32,-4413,9959
-3712,-1760,-16472,-771,-1281,12689
-7228,-4476,-9072,-1541,-3936,12530
-11080,-5584,-18820,-7515,-10485,2004
-1176,-7020,-18020,1831,-12581,7494
-1224,1136,-16820,1745,-10284,6310
-3344,-200,-11792,-3327,-7094,3094
-6088,-4756,-17452,-864,-8260,10114
-948,-4584,-17788,-707,-5925,7673
-4940,-2764,-14736,-1235,-4257,6347
-4836,-3248,-16620,-3311,-5695,4450
-3512,-3064,-18576,-3612,-6292,5982
-4468,-7348,-18404,-4560,-2422,4559
-4640,-8840,-18836,-1714,-1288,2881
-1216,-5892,-20796,937,1363,1854
2732,-4764,-22240,-283,7056,1294
-2672,-11992,-22956,-932,14136,-7286
-7020,7268,-22028,7125,19962,-8084
-12124,5660,-22172,7454,15609,678
-3788,-2824,-21188,10769,10358,7296
-124,-5236,-18872,14343,12475,10058
-5100,-3112,-14496,8384,10921,-6610
-7568,-4232,-12448,3868,7794,-19919
-1956,-416,-11724,4062,3668,-17244
-2932,1868,-10040,943,-1019,-13623
-1144,3496,-9112,-3021,-8228,-11262
2500,-2912,-13228,-4386,-11528,-4856
6624,-8300,-21472,-3640,-11016,-1403
10108,-9268,-25888,-2537,-4895,-4036
4392,-6772,-21776,1356,1038,-7850
7680,-2952,-14732,1834,2652,-7369
-6536,6392,-29896,1133,188,1844
-7236,-2052,-13640,5134,-1250,16432
-4980,-1568,-9372,1301,-3166,15414
-8528,524,-24312,-9441,-7722,6050
-6912,-6472,-16160,-3501,-8825,9490
-2868,-3504,-17448,-1835,-9275,11021
-2688,-2552,-13328,-5424,-7150,3984
-4428,-4296,-14420,-3096,-7660,8006
-3760,-4524,-16168,-1594,-7556,9041
-4056,-5348,-13040,-2341,-5640,5874
-4492,-2100,-16188,-3407,-7810,4093
-4736,-3000,-18336,-3983,-7631,4665
-3548,-4332,-19308,-5430,-4903,4195
-3036,-7024,-19856,-3677,-1465,3701
-3168,-6448,-18984,-477,1047,2134
1272,-4708,-21476,1494,3994,2543
-3588,-11204,-20060,-1930,12272,-7160
-3768,-3724,-23192,7159,18868,-9185
-8892,9104,-23856,6191,18891,-5398
-9320,620,-20704,5825,12230,1294
-2672,-6388,-19516,7744,9862,4078
-1260,-3252,-16224,10236,13697,345
-4728,2900,-13320,3773,10556,-10791
-7276,-2348,-9644,490,3521,-15496
-1296,-4968,-12856,2292,2343,-14269
-4640,4168,-9556,1066,-4930,-14443
324,3972,-11048,-2493,-10928,-9965
4852,-3480,-17596,-4285,-10120,-5677
8200,-7948,-23368,-1698,-9473,-2662
8160,-6268,-25036,-568,188,-4227
3860,-5320,-20484,1796,1219,-5710
9500,-2196,-15476,-24,3293,-8595
-19204,3432,-29084,2436,1893,11904
-3300,4604,-9424,1348,-2343,13749
-9916,-1808,-10976,-4485,-3009,8193
-10676,-7168,-22104,-8581,-9012,2012
-2508,-7220,-17496,1578,-9897,6413
-1584,356,-16752,751,-7456,7032
-2600,-704,-13200,-2418,-5658,5721
-7784,-4560,-15392,-1490,-7627,8588
-1504,-4680,-16776,-1449,-7453,7163
-5012,-5408,-15388,-2533,-6344,2991
-3224,-2516,-17088,-1620,-7191,3490
-628,-900,-17624,-1602,-6019,4190
-5236,-4492,-18200,-3636,-1516,4310

