-4208,2364,-10984,-4658,-8321,16642
-752,1064,-9380,-2379,-13402,9485
3436,2812,-8552,201,-14286,2169
5380,9128,-13012,2423,-13483,-2364
14732,21908,-20408,-149,-13044,6548
11432,18404,-13608,-2518,-5776,7008
8260,13168,-11976,-2918,-2537,5830
-436,9024,-27724,-954,2460,-6969
-2580,4760,-21308,-3516,9710,-8315
-6048,664,-8364,-950,10498,-14169
-6532,9168,-7476,8252,9886,-9167
-11124,21756,-14180,4516,4376,-24012
-6936,8220,-12112,-5436,-7006,-29084
6544,3284,-15832,6994,-8457,-5711
-6336,14264,-12208,5894,-5478,-5812
-4772,12684,-10460,-1986,-2790,-22471
696,13056,-10896,892,2536,-14686
-6496,11756,-11892,2380,-4414,-7475
-1088,8252,-13224,4102,-5064,-5699
-2328,12212,-14700,4896,-672,-5241
-2580,15512,-13560,2566,517,-3807
-144,15180,-14608,245,5981,-1356
-3328,20724,-17012,-1707,9795,5592
-4312,16404,-14888,-5526,11059,17103
-6596,12256,-19284,-10220,7278,15229
-1784,9720,-22920,-8925,14270,10972
-1504,8972,-17764,-10652,18152,1298
-7440,9740,-9772,-8281,8580,7828
-3776,11612,-9968,-3833,-10233,26527
-1440,5836,-12020,-5789,-8003,22256
-4844,3496,-10308,-5248,-7004,13672
-1872,3380,-11172,-2235,-12207,8451
2536,3004,-9844,-74,-13498,2755
4660,7720,-12768,2696,-13063,-434
13584,20872,-17844,-913,-10941,3688
10920,20084,-15740,80,-7533,10646
8800,14796,-14036,-1947,-3804,7425
6500,7376,-16156,1028,-1444,5350
-5780,11124,-26756,685,3951,-7639
-1524,3248,-18720,-1763,9179,-9503
-6244,5796,-10252,3551,10095,-12029
-6916,13188,-9608,6342,9639,-19964
-15712,15352,-10460,-2086,-1345,-24112
692,5096,-15664,-1197,-9941,-22043
5400,7848,-13912,4782,-4561,-7245
-4928,13852,-12396,-507,-463,-14339
-5248,12180,-9548,-2071,1698,-18446
-3576,12044,-10968,28,-1270,-11624
-3816,9524,-13588,2141,-3180,-7921
-2212,8260,-13272,3776,-1998,-8136
-3624,13764,-13888,4924,1286,-7426
-2752,16072,-11756,1235,2863,-7672
1008,15252,-13748,26,5914,-2377
-448,21592,-18000,-1469,9906,5219
-6236,17716,-13680,-3345,11610,18654
-5860,13164,-17376,-9205,5500,16119
-1844,12940,-22548,-10224,14083,10785
-1920,11132,-18160,-11086,17071,2909
-8276,8900,-11460,-6348,5442,13100
-6808,9412,-10628,-3009,-7969,23606
-4004,8344,-10560,-6864,-7747,23875
-3812,5356,-10020,-3738,-7156,19809
-3012,1628,-11480,-2171,-10151,11797
2332,2224,-9904,-154,-11608,3287
4988,8412,-10580,2414,-11176,-1700
11668,16904,-17724,629,-10947,2724
12584,18860,-16416,-1616,-5243,2834
9376,13412,-12312,-732,-2387,1909
4780,9304,-20032,784,322,-4784
-4028,13620,-27296,-3744,9640,-15383
-5164,3900,-12256,-884,9856,-10564
-6368,6536,-6752,6824,8043,-1387
-7988,17248,-11152,3706,5590,-19013
-12520,9504,-12536,-4081,-2906,-25605
120,4576,-12852,1274,-9596,-21700
1980,11600,-14672,7064,-7424,-2042
-4636,13444,-13516,1750,-5345,-9661
-1924,10612,-10724,-1112,466,-14682
-5632,10580,-11888,1487,-1799,-9871
-5292,8908,-12184,3895,-5251,-7291
372,8476,-14228,5673,-3720,-5174
-4392,13516,-14444,3569,1031,-7588
-3852,14732,-12980,887,3818,-6484
128,13316,-13268,189,5867,-3175
-3692,19284,-14768,316,8445,3171
1892,19168,-17248,-3668,11623,14857
-11660,15436,-15860,-9650,7839,18409
660,13176,-22836,-11628,14388,11740
-3372,10196,-17324,-11737,19569,2727
-7936,11412,-11820,-10339,9394,7795
-7284,11096,-10952,-5096,-7964,24100
-4568,10476,-12672,-7140,-11399,29080
-3880,4292,-10404,-5501,-8189,21273
-2400,1392,-12052,-3268,-10561,13850
1128,1884,-10372,-828,-11695,4657
2864,5184,-9580,1619,-11243,-723
5060,10948,-13700,2462,-11369,-1636
11504,18640,-18420,-91,-9735,3161
9228,18888,-12100,-420,-6055,5306
8600,17420,-11716,-1398,-4118,5684
3628,10416,-21256,-823,-699,754
-3664,10616,-27592,-964,6863,-5198
-4292,540,-10832,-1210,9618,-9753
-6508,6276,-7472,4254,9194,-11484
-6164,13336,-11208,9234,8990,-15013
-12472,24304,-15396,-999,1219,-25478
4896,5064,-13896,-1865,-11455,-20027
-3008,10712,-12976,9603,-8558,898
-5012,13740,-11272,2693,-11169,-9214
1064,10240,-12604,-1485,-1349,-15806
-4560,11388,-10928,-2806,3890,-15914
-5112,10672,-12888,-99,-1330,-9694
-3504,9076,-13800,2874,-3822,-6838
-1900,10640,-14628,4944,-2249,-4949
-3068,15924,-13428,2686,676,-5316
-2288,14896,-13388,363,4215,-2615
-120,15052,-13464,536,6930,712
128,21792,-14448,-1658,8366,11263
-5980,15808,-14736,-7097,8078,23044
-3668,10488,-23504,-10702,9754,17670
16,11604,-25528,-14268,22742,885
-6028,10596,-13736,-13600,19225,-1347
-8204,13644,-7568,-6774,-2205,17628
-3264,11640,-11228,-6959,-13984,27790
-2928,5632,-12348,-4536,-7176,22289
-4176,276,-11344,-3550,-8457,16496
136,-1024,-8928,-997,-11888,4509
2436,4032,-7888,1543,-13006,-28
7508,13284,-10972,1580,-13593,-2918
13260,26284,-18160,-65,-11194,4925
10748,15688,-15908,-3297,-5917,6858
6604,3128,-13688,-373,-2032,4398
3076,17360,-32768,1279,5214,-5965
-4596,4940,-17428,-4944,11584,-9404
-7052,136,-8968,502,8255,-9878
-7164,7908,-9256,7500,11170,-16448
-12024,15600,-15816,7718,6093,-26004
-6884,9668,-13132,-476,-4344,-31471
4420,9288,-12216,6895,-8270,-11462
-3264,16928,-11780,6423,-5674,-6322
-4116,13148,-10412,-709,-1634,-17373
-1740,10288,-11456,-820,3616,-14482
-4808,9660,-11128,743,-1170,-9274
-1972,8284,-13464,3057,-2695,-6511
-2584,11824,-15712,3584,325,-5899
-3168,14612,-14160,2015,2737,-6944
444,14820,-14568,-26,7215,-3611
-5708,20292,-11288,1643,7713,2891
-1256,21592,-13088,-1335,5092,18669
-3864,12896,-18568,-6281,4168,24348
-2220,9248,-25396,-8289,13383,15182
-2412,11120,-17284,-13555,20292,-1414
-2668,13212,-13364,-13128,14709,1403
-13256,12036,-8680,-4825,-5536,25153
-2288,6892,-13008,-6759,-11627,27503
-2112,4196,-11332,-5386,-6189,21053
-2156,1152,-10688,-4162,-7948,11731
-268,2448,-9228,-886,-11469,4262
3292,4524,-8560,1903,-13607,44
10100,15332,-12592,2842,-13981,441
15516,25900,-21148,-3213,-8383,4166
8240,11380,-10068,-2413,-4958,5305
7056,3800,-12492,44,-3714,3581
-4076,15156,-32768,-1033,6810,-18257
5056,7148,-23920,-7420,14024,-18264
-9240,3692,-8368,4391,6934,-5732
-5488,7728,-7032,9786,6343,-6602
-10260,17772,-15116,6756,3357,-18162
-8388,7440,-11148,-2451,-2629,-32768
1584,6988,-12076,941,-9985,-23945
3208,12484,-13952,4311,-11034,-15150
-1924,12584,-11012,509,218,-15239
-6420,9468,-8848,-268,-259,-11781
-3868,8196,-14044,3705,-5344,-6940
-636,8880,-15660,5162,-2071,-7055
-4392,15540,-12632,3533,1495,-7219
64,18208,-14400,-368,4479,-5000
-32,15160,-13028,139,8480,222
-2320,21116,-14816,-526,8993,8627
-4020,19768,-14372,-6531,9964,21093
-7992,12484,-21828,-11953,6846,17097
-2212,13320,-25296,-10878,15772,12848
-312,10400,-18188,-14082,20393,-1026
-7336,9216,-12100,-11931,9955,5843
-7488,12724,-9244,-6164,-13985,32391
-1920,6684,-10336,-5518,-12006,31957
-4100,-748,-9540,-2563,-7312,20033
-2400,100,-9660,-1538,-12925,10651
1144,2332,-8628,-651,-14390,2082
5436,4720,-10896,1860,-14306,-4539
15936,26052,-21196,-53,-13400,5232
14436,19004,-13288,-2163,-7375,9179
7212,5348,-11028,-1410,-3038,4163
4060,11076,-29716,1137,3266,-5318
-1604,10980,-25040,-4583,11925,-9392
-7816,-216,-7252,1265,7013,-5199
-6052,7100,-7456,6685,6845,-10545
-10324,16620,-13232,9593,6858,-22491
-10344,15208,-14068,-396,-2575,-30247
4940,5116,-12756,1,-11809,-24937
-2676,13848,-12624,8201,-9018,-1744
-4256,13528,-12036,-369,-4975,-16739
-184,9276,-11788,-1569,3742,-17769
-7280,12128,-12264,2469,-2292,-10424
-2292,9548,-12560,4380,-4651,-7692
-1948,13152,-14972,4956,395,-5624
-1324,15992,-13832,1339,2854,-4689
-1696,15852,-11820,-449,7333,-949
-3884,21348,-16092,-1419,7291,7809
-3584,17044,-15476,-5042,9305,20839
-5188,9912,-21112,-9450,6546,17908
-2384,11680,-22216,-8327,14838,12020
-1712,12380,-17976,-12334,17049,2146
-6064,9568,-12804,-9382,9269,8740
-5284,10536,-11000,-4076,-12701,29830
-924,5144,-11824,-6356,-7080,22196
-3840,1908,-9756,-4167,-6462,16997
-2404,1724,-10256,-1659,-11418,9533
2300,2184,-9468,490,-13504,2197
5916,6988,-12148,2724,-12636,-4123
15524,22348,-19936,-798,-11003,2863
12028,21704,-14712,-2729,-5032,7977
6992,3604,-12484,-2140,-3217,5513
4480,3836,-14520,1585,158,-621
-7880,15756,-32208,-817,8183,-16923
-12596,8208,-10056,-3196,13272,-15273
-4612,4868,-3800,6606,6029,-998
-10144,11832,-9336,6279,2300,-11218
-13024,13788,-18404,3377,-4205,-17282
-896,5012,-13012,-3345,-9981,-31383
6812,9048,-14772,3719,-1386,-9640
-6560,14880,-13436,-1638,5345,-19479
-6676,10324,-7980,-1529,2021,-20311
-1484,12268,-14020,4092,-2603,-6597
-4236,10660,-12288,3282,-690,-11484
-2492,12980,-12284,5997,-2447,-6607
-3140,16444,-12640,3569,-860,-4184
1680,15812,-15288,-805,7897,-2936
2136,20316,-11552,188,13011,4371
-3056,19748,-16816,-6564,12102,18428
-10412,18024,-21612,-13395,6711,19666
-1044,12244,-25764,-11803,13185,17260
-1048,8380,-21812,-7802,15800,7203
-7304,7968,-12080,-10969,10253,6948
-7852,10552,-7996,-3632,-9459,29417
-1724,5840,-9944,-3694,-12474,30312
-4192,2300,-7296,-1575,-7032,15941
-2492,3812,-10208,-1619,-12377,7296
1456,5124,-9436,-657,-14500,1829
5200,6812,-13356,-23,-12860,-4278
12792,15396,-17840,-1483,-9932,940
13324,19060,-14048,-1712,-6305,6489
10020,17328,-12136,-1176,-4345,7652
7012,14464,-22740,-1183,-1859,3756
-3564,6048,-20080,-4802,7695,-10368
-4492,376,-13452,-1313,8030,-10975
-6968,6404,-8844,5320,10190,-9823
-9540,13844,-13704,5401,9461,-25641
-11696,11388,-14404,-247,-2004,-29032
4392,7264,-14076,4614,-10748,-14136
-3136,15372,-12828,5846,-3104,-7629
-5744,13104,-10144,-3023,1241,-23507
-1048,12392,-10228,-110,3531,-18380
-7168,12628,-10272,3919,-2699,-6897
-3792,9996,-10956,5121,-5174,-5579
-2072,13032,-15124,6001,-1836,-3489
-2504,17836,-14232,2154,-850,-2985
-1320,13916,-14760,-606,4734,-828
-152,15864,-14448,-151,9807,2905
-120,19496,-16160,-2391,10872,14591
-7752,17252,-15884,-8783,8080,21692
-3860,14152,-22088,-12189,10767,14836
1236,9864,-21588,-11248,19937,3258
-6552,9108,-12360,-12580,14823,335
-8108,11516,-8732,-4644,-10746,28794
-1972,8784,-13636,-4236,-13703,31853
-4016,2432,-11060,-3982,-5653,17350
-3480,380,-10044,-2856,-10092,12020
-32,2984,-7960,-740,-13418,4276
4852,5884,-8660,1957,-14969,-1764
13864,17204,-20044,343,-12379,3537
12756,21308,-17200,-1927,-7139,6936
8700,10708,-11756,-1733,-3448,5447
6064,6396,-21300,1839,-1948,-353
-10608,14972,-27588,-1868,7672,-15537
-1056,2132,-13952,-3203,11327,-14190
-6596,5720,-7256,5157,8283,-7759
-6776,11172,-9848,7011,8053,-17750
-13396,16788,-14904,-287,2355,-29135
-8,5348,-11524,-54,-8875,-28312
-1400,13624,-11964,7387,-8086,-5862
-4576,14628,-12736,-128,-4999,-18251
-2116,9144,-10436,-488,862,-18719
-6872,10436,-13160,4730,-4427,-7613
-2204,12360,-12904,5097,-4186,-6464
-1944,13820,-14348,3568,448,-5617
-4992,17172,-12516,1015,1788,-3779
-1000,16108,-12292,-920,5511,71
2944,16004,-14940,-1208,10650,7043
-4616,17752,-15464,-4923,12198,17787
-10244,15880,-17884,-9933,4500,21533
208,13096,-26120,-10539,13957,17504
-680,7788,-23420,-12100,22765,2521
-2004,8208,-18532,-13127,20292,-1188
-5396,14612,-9476,-6077,-11915,28416
-1748,5156,-11048,-4915,-8085,25742
-4832,-2224,-9788,-2244,-5904,16832
-2948,-2060,-9132,264,-11503,6285
1772,2596,-8708,2349,-13590,-1240
8312,9284,-12320,2621,-12733,-10193
18084,30724,-26892,-1341,-9049,4397
10460,16532,-7152,-4519,-1492,7822
6620,-112,-10536,-618,-1659,-131
-11888,10164,-31708,-297,7342,-19676
15552,15700,-32768,-2919,16125,-18849
-13548,6528,-3936,6439,6282,908
-5552,10316,-5028,6106,-287,-6740
-12516,17196,-15248,2854,-4714,-12679
-5072,6832,-13980,-877,-6861,-25818
10984,5888,-15544,-71,-5399,-22038
-5676,14756,-13972,1396,2419,-14801
-7112,11104,-8044,168,683,-19491
-3056,11656,-12124,4900,-2823,-6341
-5792,10704,-10472,4788,-3745,-8815
-716,11040,-14516,6715,-4622,-3256
-2372,16404,-16896,2113,1114,-5421
-2396,15576,-13388,-678,6204,-3501
396,17284,-10972,748,7684,2298
-936,22344,-15608,-1179,7276,13045
-10644,17920,-14280,-4609,3616,25929
-3992,13796,-23868,-9811,5123,20842
552,8400,-23284,-10690,18342,10210
-2152,7896,-17584,-12212,18800,1697
-11980,9592,-7148,-6521,-1792,17438
-3592,14056,-9648,-7007,-13079,29182
-4656,4744,-10316,-4667,-7735,22779
-4332,-68,-10488,-3087,-9837,16479
0,888,-9956,-1927,-13155,6150
3456,4472,-10196,-42,-13191,-86
8300,12596,-16636,807,-11303,-409
14728,21860,-18628,-1814,-10388,9313
11028,18980,-10908,-1283,-5101,8622
8164,4960,-10776,-2919,-2360,4274
-1176,9032,-27532,-468,4949,-11021
-1668,11408,-27232,-3887,10463,-10546
-5840,668,-7732,671,7321,-8182
-4776,7980,-7220,5932,8226,-11027
-10168,16844,-13800,6994,6136,-23972
-8448,11884,-12176,-2429,-2606,-31741
3708,5484,-13948,3817,-9806,-16264
-3144,14660,-13984,6433,-6711,-7427
