-380,3052,-16736,-6736,-9809,7050
-6868,-5828,-14284,-6429,-8010,4846
-3320,-3300,-14668,-3584,-11404,7868
-1556,-1548,-14464,-3928,-7679,10375
-2236,-3084,-16900,-4921,-5323,11026
-3044,-2368,-18380,-5164,-5341,11079
-3740,-8168,-20308,-8689,-6353,2900
-4808,-14144,-19400,-2365,-4696,-236
468,-12804,-24028,2582,-3010,-4599
124,-16656,-18756,8477,8976,-6000
-4064,-4652,-21144,11104,16501,-12554
-7156,7560,-32424,14862,18286,4425
-8448,3528,-25388,9822,15334,10028
-4928,-10440,-15184,13580,11531,6189
-3088,-4508,-14328,13624,8913,-7519
-3536,2620,-7272,9971,3394,-18349
-3288,6308,-6924,4901,-683,-14326
-2396,6980,-7012,3721,-1873,-11629
3192,-3252,-11948,-6416,-7095,-5498
12116,-22124,-18584,-5209,-5746,-9296
6756,-6116,-12972,2693,1336,-13067
7916,-3544,-10144,2224,693,-12925
-16000,7880,-32768,-6119,989,7711
-5036,-492,-5684,-590,99,15822
-11940,2280,-13100,-11188,-12687,19452
-7152,-11200,-25728,-13330,-12456,9931
2556,-3644,-16756,-6840,-5764,7045
-7096,-2108,-10256,-6083,-6914,2947
-240,-5944,-15704,-5851,-11266,1716
-2264,-2804,-14276,-3564,-9039,4863
-1404,868,-15116,-6287,-8590,5340
-4852,-1380,-16764,-10113,-6669,7403
-2328,-7040,-20908,-10483,-6708,5722
-7192,-17620,-17244,-1711,-4567,-645
1196,-8644,-27268,801,-1329,-4260
-1380,-14496,-20512,9004,8790,-6314
-908,-2808,-21848,10660,15564,-9540
-3368,6752,-32192,13665,13664,3564
-6872,1388,-22400,9798,14293,9887
-1748,-9484,-15156,11500,12497,3992
-3908,-5428,-15840,11356,10574,-9402
-5136,-2052,-10132,10294,5096,-15934
-4056,6352,-7452,7297,2667,-12466
-1632,4260,-7284,1948,-3099,-6998
5296,1604,-9508,-5901,-7236,-4814
11136,-27028,-17904,-6027,-5071,-9789
9280,-17200,-31220,2138,5065,-13154
19228,3560,-8948,-658,910,-9152
-13992,9732,-32768,-8375,-1525,5236
-8136,1092,-5052,-480,-276,18466
-10816,704,-14348,-12392,-12238,22240
-4176,-14544,-24360,-12824,-12227,4940
2772,-7964,-14868,-5607,-7987,5090
-5344,2000,-11572,-2627,-9050,7994
-3220,-3456,-13972,-5535,-11136,5479
12,-3476,-15720,-4520,-10121,7363
-1032,-1264,-16296,-9254,-5308,7671
-3380,-7184,-18440,-11083,-6784,4304
-7000,-10848,-21612,-6596,-5338,969
2776,-11492,-22312,4577,-4255,-2305
-108,-15388,-21892,9140,13887,-1225
2688,-5668,-23980,13647,19204,-4503
-11448,4424,-30424,12803,18604,3800
-8668,1652,-25616,10509,15669,11777
-4004,-14772,-11480,10108,9163,-2732
-4388,-1864,-11036,10751,7297,-11789
-5504,-576,-8876,11751,255,-15051
-3640,8092,-5088,9000,-2793,-12946
1756,6128,-6636,-1054,-6843,-9659
9244,-10416,-18096,-8924,-3556,-12551
10348,-22484,-23936,3743,-4861,-6674
5384,-11176,-23696,1145,3289,-12707
15940,-824,-19036,-966,496,-10723
-10796,5272,-32768,-3546,1684,8130
-21284,3408,784,-8898,-5146,20074
-9972,-6840,-29524,-16218,-16315,18710
5584,-8840,-18880,-6574,-8762,10774
-6844,-4780,-10028,-6925,-4420,5915
-276,-1708,-14816,-4822,-10301,5564
-2860,-4444,-15412,-3274,-9809,10487
-1252,-1520,-13376,-4723,-8774,10118
-1156,-1280,-16420,-9931,-7408,5716
-1180,-5512,-20492,-9818,-6824,6976
-4508,-9392,-21404,-7395,-4712,4375
-2900,-18632,-18064,709,287,367
-2528,-17088,-14704,8626,13267,-10551
3280,-7492,-32768,21719,22567,-4293
-15036,8448,-32768,14895,17767,5816
-14376,-2712,-21764,13032,12108,15202
1204,-17528,-14668,12674,4314,-3737
-8136,-236,-10348,8173,2943,-14224
-4916,336,-7744,9439,1057,-18213
-2872,7600,-6408,6476,-1749,-13222
2348,4344,-8584,-2226,-5609,-9425
6604,-7476,-18412,-10034,-2837,-11036
13504,-20816,-23576,-3677,-3050,-6450
4692,-13788,-26996,-943,2748,-14683
14296,376,-8880,89,-99,-4425
-12332,8308,-32768,-9062,-3569,6632
-5900,3512,-2432,-2704,-1107,16005
-7760,-680,-20812,-13246,-10968,17371
-4716,-13136,-21820,-11150,-10757,851
1308,-3956,-13180,-4739,-9347,8820
-6312,700,-11008,-5423,-10793,4375
-2428,-4112,-13860,-5183,-11682,6636
-460,-612,-13184,-5064,-10078,8787
-4728,-1876,-18588,-10666,-6887,4868
-2980,-7468,-21964,-11194,-5910,4397
-6684,-18532,-16312,-1415,-5049,1130
6796,-11224,-23952,4657,697,-7219
1000,-10600,-22272,14312,16865,-4863
-8852,-1940,-31352,16661,21362,-5421
-3740,4428,-32768,16362,18880,11259
-7812,-4144,-14496,9011,11647,6708
556,-11956,-13816,11055,10138,-13831
-9960,220,-7448,8920,7409,-21595
-5720,7068,-5376,9769,-887,-15353
-2600,7428,-6456,3982,-6103,-9114
4796,2540,-10136,-6311,-9305,-3776
9704,-28120,-22960,-7174,-6342,-15319
11936,-19856,-32768,571,6035,-12048
7740,-5084,-8876,2424,-1407,-13480
-18328,2044,-22128,-3161,974,6854
14780,-4804,-25212,494,2960,13348
-16072,4496,-1464,-9589,-9191,19892
-8120,-9556,-25728,-15365,-13148,12536
5252,-12920,-18704,-6960,-12018,9038
-5440,-1268,-9216,-2707,-6961,9796
-3380,-1620,-13252,-4847,-10063,4306
-848,-1968,-15280,-4339,-10354,8507
1068,-988,-14716,-7973,-7848,8271
-3676,-4568,-18884,-10302,-7977,4488
-5804,-11336,-21896,-9845,-5636,563
-3072,-15792,-19084,1559,-3053,-2954
-1732,-16136,-21524,6851,9420,-6342
2972,-2684,-22228,14427,16520,-8935
-13556,5652,-31288,13949,19315,1178
-5904,1060,-31756,11524,20348,10382
-5296,-11588,-9900,7802,10694,-1572
-4116,-8196,-11560,11682,9704,-11884
-7244,-500,-7408,12470,3452,-16679
-4536,7012,-6656,9540,-821,-14330
-528,7296,-6836,-122,-6885,-9524
7908,-2076,-12988,-9783,-8041,-8936
14556,-29080,-29252,-2145,-5704,-8895
3904,-10096,-22660,1346,3128,-12676
24716,4256,-13664,-1217,707,-5073
-15696,-716,-31636,-6295,-1872,9322
-5116,6088,-1800,-4090,-2864,11225
-9988,-648,-21068,-14500,-14272,23293
-2180,-14808,-24964,-11081,-12876,4026
-304,-3236,-11980,-4918,-8045,9365
-6784,676,-10028,-4642,-10684,6610
